YEAR,MONTH,open_date,close_date,sellCode,sellCodeName,sellOpenPrice,sellMount,sellClosePrice,sellTradeFee,sellInterestFee,sellOtherFee,buyCode,buyCodeName,buyOpenPrice,buyMount,buyClosePrice,buyTradeFee,buyInterestFee,buyOtherFee,totolReturn,totolReturnRate,open_days,result
2019,10,2019-09-18,2019-10-04,6472,MTN,320,1200,313,392,219,60,6752,パナソニック,896.9,400,880.4,408,522,40,159,0.00021406645484409498,16,OVER MAX DAY
2019,10,2019-09-24,2019-10-10,6305,日立建機,2638,300,2464,763,477,30,3861,王子ホールディングス,525,1500,518,823,1208,750,37649,0.02384508201912724,16,OVER MAX DAY
2019,10,2019-10-09,2019-10-15,3099,三越伊勢丹ホールディングス,872,1200,876,770,220,0,7211,三菱自動車工業,454,2200,486,770,536,0,63304,0.030952474085663994,6,STOP PROFIT
2019,10,2019-10-15,2019-10-21,7453,良品計画,2127,500,2298,770,256,0,8308,りそなホールディングス,462.3,2300,460,770,652,0,-93238.00000000003,-0.043839777316989466,6,STOP LOSS
2019,10,2019-10-04,2019-10-21,8750,第一生命ホールディングス,1635,600,1741.5,770,502,0,8002,丸紅,695.28,1400,734.7,1069,0,0,-11052.999999999898,-0.005655467275756295,17,OVER MAX DAY
2019,10,2019-10-07,2019-10-23,6770,アルプスアルパイン,2105,400,2145,770,431,80,8601,大和証券グループ本社,488.91,1700,499,1069,0,0,-1197.0000000000437,-0.0007154183105250427,16,OVER MAX DAY
2019,10,2019-10-07,2019-10-23,5803,フジクラ,413,1700,459,770,359,85,7259,アイシン精機,3400,200,3720,1069,0,0,-16483,-0.011926054554663194,16,OVER MAX DAY
2019,10,2019-10-10,2019-10-29,7186,コンコルディア・フィナンシャルグループ,410,1800,444,770,355,1350,8309,三井住友トラスト・ホールディングス,3719,200,4022,770,912,0,-4757,-0.0032102847887704143,19,OVER MAX DAY
2019,11,2019-11-13,2019-11-20,1820,西松建設,2431,400,2375,770,234,0,4508,田辺三菱製薬,1338.76,700,2004,1069,0,0,485995,0.25451000559299347,7,STOP PROFIT
2019,11,2019-11-13,2019-11-21,8002,丸紅,814,1300,794.1,770,350,0,8601,大和証券グループ本社,515.02,2000,533.3,1069,0,0,60240.99999999991,0.028847737807914758,8,STOP PROFIT
2019,11,2019-11-14,2019-11-29,3105,日清紡ホールディングス,970,1100,999,770,514,165,6301,小松製作所,2639.5,400,2580,770,1295,0,-59214,-0.027894290559638213,15,STOP LOSS
2019,12,2019-11-15,2019-12-03,6770,アルプスアルパイン,2386,400,2446,770,320,488,1911,住友林業,1573,600,1579,770,1230,-420,-23558,-0.012410704878305763,18,OVER MAX DAY
2019,12,2019-11-20,2019-12-06,4182,三菱瓦斯化学,1627,600,1681,770,558,120,1824,前田建設工業,973,1000,1062,770,1418,0,54150,0.0278,15,STOP PROFIT
2019,12,2019-11-21,2019-12-09,6995,東海理化電機製作所,2050,500,2176,770,556.0273972602739,92,6472,ＮＴＮ,322,3200,353,1069,0,0,33712.97260273973,0.01640214683406623,18,OVER MAX DAY
2019,12,2019-11-22,2019-12-09,8601,大和証券グループ本社,533.8,2000,555,770,546.9621917808217,92,8308,りそなホールディングス,467.7,2300,484,1069,0,0,-7387.962191780884,-0.003446987226197276,17,OVER MAX DAY
2019,12,2019-12-03,2019-12-19,3861,王子ホールディングス,616,1700,630,770,504.95123287671225,0,5703,日本軽金属ホールディングス,222,4700,234,770,1280.666301369863,0,29274.382465753424,0.014002861602292846,16,OVER MAX DAY
2019,12,2019-12-09,2019-12-25,5991,日本発條,1013,900,1023,770,439.6142465753424,0,7267,本田技研工業,3170,300,3125,770,1167.2547945205479,0,-25646.869041095888,-0.01376865251575449,16,OVER MAX DAY
2019,12,2019-12-10,2019-12-27,6471,日本精工,1067,1000,1054,770,546.654794520548,0,6473,ジェイテクト,1360,800,1333,770,1418.8712328767124,0,-12105.526027397262,-0.005617413469789913,17,OVER MAX DAY
2019,12,2019-12-12,2019-12-30,1860,戸田建設,730,1400,733,770,554.4,0,5110,住友ゴム工業,1420,700,1340,770,1372.5369863013698,0,-63666.93698630137,-0.03158082191780822,18,OVER MAX DAY
2020,2,2020-01-17,2020-02-03,8572,アコム,513,2000,501,770,525.6493150684931,0,8804,東京建物,1711,600,1755,770,1338.798904109589,0,46995.551780821916,0.022895621056621806,17,OVER MAX DAY
2020,2,2020-01-16,2020-02-03,5333,日本碍子,1958,500,1827,770,531.0739726027398,0,9810,日鉄物産,5120,200,4900,770,1413.9616438356165,0,18014.964383561644,0.008993991204973363,18,OVER MAX DAY
2020,2,2020-01-15,2020-02-03,3105,日清紡ホールディングス,1037,1000,928,770,593.7890410958904,0,3116,トヨタ紡織,1711,600,1579,770,1496.3046575342466,0,26169.90630136986,0.012681675858388187,19,OVER MAX DAY
2020,2,2020-02-05,2020-02-21,9501,東京電力ホールディングス,454,2300,437,770,503.5046575342465,100,8273,イズミ,3505,300,3340,770,1290.6082191780822,300,-14134.11287671233,-0.0067443397798885,16,OVER MAX DAY
2020,2,2020-02-05,2020-02-21,9201,日本航空,3112,300,2995,770,450.1742465753424,200,8242,エイチ・ツー・オー　リテイリング,995,900,930,770,1099.1342465753426,200,-26889.308493150682,-0.01470084112030544,16,OVER MAX DAY
